xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
TOOL:	xrun	25.03-s001: Started on Jun 15, 2026 at 13:28:57 EDT
xrun
	-Q
	-unbuffered
	-timescale 1ns/1ns
	-sysv
	-access +rw
	design.sv
	testbench.sv
	Top level design units:
		i2c_tb
Loading snapshot worklib.i2c_tb:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
Time=0, scl=0, sda=zzzzzzzz, address=00, read=0, write=0, bit_counter= 0, adress_state=0, stop=0, start=0
Time=6095000, scl=0, sda=00000000, address=00, read=0, write=0, bit_counter= 0, adress_state=0, stop=1, start=0
Time=6290000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 0, adress_state=0, stop=1, start=1
Time=6310000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 1, adress_state=0, stop=1, start=1
Time=6330000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 2, adress_state=0, stop=1, start=1
Time=6350000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 3, adress_state=0, stop=1, start=1
Time=6370000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 4, adress_state=0, stop=1, start=1
Time=6390000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 5, adress_state=0, stop=1, start=1
Time=6410000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 6, adress_state=0, stop=1, start=1
Time=6430000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 7, adress_state=0, stop=1, start=1
Time=6450000, scl=1, sda=00000000, address=00, read=0, write=0, bit_counter= 8, adress_state=0, stop=1, start=1
Time=6470000, scl=1, sda=00000000, address=00, read=0, write=1, bit_counter= 9, adress_state=0, stop=1, start=0
Time=6490000, scl=0, sda=00000000, address=00, read=0, write=1, bit_counter= 0, adress_state=1, stop=1, start=0
Time=6495000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 0, adress_state=1, stop=1, start=0
Time=6510000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 1, adress_state=1, stop=1, start=0
Time=6530000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 2, adress_state=1, stop=1, start=0
Time=6550000, scl=0, sda=zzzzzzzz, address=00, read=0, write=1, bit_counter= 3, adress_state=1, stop=1, start=0
